Abst,Any Dades,Any Informe,Atur,Barri,Baix Pes,Codibarri,Codidistricte,Filtro PER LLEGENDES MAPA,Filtre Gràfic/Taula,Filtre Any Informe,Districte,EV,Envell (copia),Envell,Fec Ad,Filtre Matriu/Mapa,Indicador títol,Nest,Number of Records,Rapvp,RFD,RMC,Soles,TBC,RFD 2008,indic,LTV,BPVV,BM,RFD 2014
"50,1",2009-2015,2015,"9,797324361",el Barri Gòtic,"3,921568627",2,1,Falso,Gràfic,Verdadero,Ciutat Vella,"81,34","56,4","56,4","3,8",Matriu,"56,4","23,5",1,"118,7","103,6","115,7","33,590733591","42,290252097","80,8",1,0,0,0,"98,5"
"54,9",2009-2015,2015,"12,373579042",el Raval,"5,276929786",1,1,Falso,Gràfic,Verdadero,Ciutat Vella,"80,29","55,1","55,1","17,5",Matriu,"55,1","40,6",1,"149,8","60,3","119,8","38,550197149","118,201833793","62,6",1,0,0,0,"65,9"
"52,9",2009-2015,2015,"12,758747023",la Barceloneta,"8,043875686",3,1,Falso,Gràfic,Verdadero,Ciutat Vella,"80,43","58,7","58,7","7,9",Matriu,"58,7","33,2",1,"163,9","82,1","118,6","37,542662116","44,756460915","65,9",1,0,0,0,"84,5"
"49,6",2009-2015,2015,"11,406821669","Sant Pere, Santa Caterina i la Ribera","5,997818975",4,1,Falso,Gràfic,Verdadero,Ciutat Vella,"82,37","56,7","56,7","16,4",Matriu,"56,7","25,4",1,"126,2","91,2","104,3","39,389312977","31,87476758","81,8",1,0,0,0,"92,5"
36,2009-2015,2015,"8,73616498",el Fort Pienc,"6,191950464",5,2,Falso,Gràfic,Verdadero,Eixample,"84,34","53,7","53,7","2,6",Matriu,"53,7","19,3",1,"72,7",99,"97,2","30,201157344","13,080689165","108,3",3,0,0,0,"104,5"
"36,8",2009-2015,2015,"8,363257685",l'Antiga Esquerra de l'Eixample,"6,482027107",8,2,Falso,Gràfic,Verdadero,Eixample,"83,79","56,4","56,4","2,5",Matriu,"56,4","14,3",1,"89,1","125,1","99,2","33,173629743","11,031809984","122,8",2,0,0,0,"127,8"
35,2009-2015,2015,"7,122367593",la Dreta de l'Eixample,"4,761904762",7,2,Falso,Gràfic,Verdadero,Eixample,"82,94","55,8","55,8",1,Matriu,"55,8","12,7",1,"81,2","165,7",109,"31,13406005","12,95792377",138,3,0,0,0,"165,3"
"36,7",2009-2015,2015,"8,560442701",la Nova Esquerra de l'Eixample,"6,199460916",9,2,Falso,Gràfic,Verdadero,Eixample,"84,59","52,8","52,8","3,5",Matriu,"52,8","17,3",1,"85,3","108,6","92,2","32,956357837","12,799756459","116,6",3,0,0,0,"109,1"
38,2009-2015,2015,"8,664082388",la Sagrada Família,"6,302314131",6,2,Falso,Gràfic,Verdadero,Eixample,"84,34","56,3","56,3","4,7",Matriu,"56,3","20,8",1,"82,1","97,5","94,2","33,456675917","15,420794942","100,7",2,0,0,0,"92,4"
"38,6",2009-2015,2015,"9,505943683",Sant Antoni,"5,757776307",10,2,Falso,Gràfic,Verdadero,Eixample,"83,75","57,2","57,2","6,1",Matriu,"57,2","22,5",1,"103,6","102,5","96,8","34,925732637","19,385632627","102,9",2,0,0,0,"97,8"
"46,6",2009-2015,2015,"11,785714286",el Poble Sec,"6,603275225",11,3,Falso,Gràfic,Verdadero,Sants-Montjuïc,"82,61","55,5","55,5","12,8",Matriu,"55,5","33,3",1,"106,9",71,"106,2","35,291164659","41,296513886","70,8",2,0,0,0,"66,3"
"41,2",2009-2015,2015,"9,437877831",Hostafrancs,"6,461086637",15,3,Falso,Gràfic,Verdadero,Sants-Montjuïc,"82,55","51,7","51,7","11,6",Matriu,"51,7","28,3",1,92,"77,2","109,5","33,183279743","23,913207642","82,5",2,0,0,0,"76,8"
"38,9",2009-2015,2015,"9,973987969",la Bordeta,"6,602475928",16,3,Falso,Gràfic,Verdadero,Sants-Montjuïc,"83,25","53,1","53,1","8,1",Matriu,"53,1","29,3",1,"110,2","71,4","97,6","26,776470588","23,72376906","80,8",2,0,0,0,76
"41,7",2009-2015,2015,"12,38372093",la Font de la Guatlla,"7,297297297",14,3,Falso,Gràfic,Verdadero,Sants-Montjuïc,"82,32","51,5","51,5","2,8",Matriu,"51,5","26,4",1,"96,4","77,8","110,8","30,204778157","11,67065414","91,7",2,0,0,0,"77,6"
